features,model,r2,mae,rmse
PA zone,LinearRegression,0.2851707580223911,29449.01909013044,34140.79393926899
PA zone,RandomForest,0.16903754027809614,31553.145833333332,36809.775044731665
PA zone,XGBoost,0.07702851295471191,33925.25,38794.181831815964
PA zone,LightGBM,-0.22765764096280994,37681.804864307574,44741.55735789234
ME zone,LinearRegression,0.9388858291589725,8599.801047988474,9982.594341351763
ME zone,RandomForest,0.7759189148111982,15495.833333333334,19115.03338180449
ME zone,XGBoost,0.8462731838226318,12160.4990234375,15832.419903476537
ME zone,LightGBM,0.8147128917629023,13123.291416478562,17381.812585504755
